Bezeichnung,Kanton,Jahr,Wert,Bemerkungen,Vergleichbar_Vorjahre,Vergleichbar_AndereKantone
Verhinderung/Interessenkollision Eltern (Art. 306 ZGB),AG,2022,330,NA,TRUE,TRUE
Verhinderung/Interessenkollision Eltern (Art. 306 ZGB),AI,2022,6,NA,TRUE,TRUE
Verhinderung/Interessenkollision Eltern (Art. 306 ZGB),AR,2022,11,NA,TRUE,TRUE
Verhinderung/Interessenkollision Eltern (Art. 306 ZGB),BE,2022,564,NA,TRUE,TRUE
Verhinderung/Interessenkollision Eltern (Art. 306 ZGB),BL,2022,140,NA,TRUE,TRUE
Verhinderung/Interessenkollision Eltern (Art. 306 ZGB),BS,2022,171,NA,TRUE,TRUE
Verhinderung/Interessenkollision Eltern (Art. 306 ZGB),FR,2022,323,NA,TRUE,TRUE
Verhinderung/Interessenkollision Eltern (Art. 306 ZGB),GE,2022,781,NA,TRUE,TRUE
Verhinderung/Interessenkollision Eltern (Art. 306 ZGB),GL,2022,23,NA,TRUE,TRUE
Verhinderung/Interessenkollision Eltern (Art. 306 ZGB),GR,2022,55,NA,TRUE,TRUE
Verhinderung/Interessenkollision Eltern (Art. 306 ZGB),JU,2022,70,NA,TRUE,TRUE
Verhinderung/Interessenkollision Eltern (Art. 306 ZGB),LU,2022,175,NA,TRUE,TRUE
Verhinderung/Interessenkollision Eltern (Art. 306 ZGB),NE,2022,53,NA,TRUE,TRUE
Verhinderung/Interessenkollision Eltern (Art. 306 ZGB),NW,2022,13,NA,TRUE,TRUE
Verhinderung/Interessenkollision Eltern (Art. 306 ZGB),OW,2022,20,NA,TRUE,TRUE
Verhinderung/Interessenkollision Eltern (Art. 306 ZGB),SG,2022,238,NA,TRUE,TRUE
Verhinderung/Interessenkollision Eltern (Art. 306 ZGB),SH,2022,48,NA,TRUE,TRUE
Verhinderung/Interessenkollision Eltern (Art. 306 ZGB),SO,2022,92,NA,TRUE,TRUE
Verhinderung/Interessenkollision Eltern (Art. 306 ZGB),SZ,2022,87,NA,TRUE,TRUE
Verhinderung/Interessenkollision Eltern (Art. 306 ZGB),TG,2022,121,NA,TRUE,TRUE
Verhinderung/Interessenkollision Eltern (Art. 306 ZGB),TI,2022,118,NA,TRUE,TRUE
Verhinderung/Interessenkollision Eltern (Art. 306 ZGB),UR,2022,11,NA,TRUE,TRUE
Verhinderung/Interessenkollision Eltern (Art. 306 ZGB),VD,2022,964,NA,TRUE,TRUE
Verhinderung/Interessenkollision Eltern (Art. 306 ZGB),VS,2022,107,"VS: Von den 19 KESB im Kanton Wallis konnten nur 11 KESB die Daten für das Jahr 2022 liefern. Die Massnahmenzahlen des Kantons – als Total («Kinder») für 2022 wurden anhand der 11 KESB mit Massnahmenzahlen 2022, im Verhältnis zu den Massnahmenzahlen 2021, hochgerechnet.",TRUE,TRUE
Verhinderung/Interessenkollision Eltern (Art. 306 ZGB),ZG,2022,69,NA,TRUE,TRUE
Verhinderung/Interessenkollision Eltern (Art. 306 ZGB),ZH,2022,774,NA,TRUE,TRUE
Art. 306.2 Vertretungsbeistandschaft,AG,2022,330,NA,TRUE,TRUE
Art. 306.2 Vertretungsbeistandschaft,AI,2022,6,NA,TRUE,TRUE
Art. 306.2 Vertretungsbeistandschaft,AR,2022,11,NA,TRUE,TRUE
Art. 306.2 Vertretungsbeistandschaft,BE,2022,555,NA,TRUE,TRUE
Art. 306.2 Vertretungsbeistandschaft,BL,2022,139,NA,TRUE,TRUE
Art. 306.2 Vertretungsbeistandschaft,BS,2022,169,NA,TRUE,TRUE
Art. 306.2 Vertretungsbeistandschaft,FR,2022,317,NA,TRUE,TRUE
Art. 306.2 Vertretungsbeistandschaft,GE,2022,769,NA,TRUE,TRUE
Art. 306.2 Vertretungsbeistandschaft,GL,2022,19,NA,TRUE,TRUE
Art. 306.2 Vertretungsbeistandschaft,GR,2022,55,NA,TRUE,TRUE
Art. 306.2 Vertretungsbeistandschaft,JU,2022,63,NA,TRUE,TRUE
Art. 306.2 Vertretungsbeistandschaft,LU,2022,172,NA,TRUE,TRUE
Art. 306.2 Vertretungsbeistandschaft,NE,2022,1,NA,TRUE,TRUE
Art. 306.2 Vertretungsbeistandschaft,NW,2022,13,NA,TRUE,TRUE
Art. 306.2 Vertretungsbeistandschaft,OW,2022,20,NA,TRUE,TRUE
Art. 306.2 Vertretungsbeistandschaft,SG,2022,237,NA,TRUE,TRUE
Art. 306.2 Vertretungsbeistandschaft,SH,2022,48,NA,TRUE,TRUE
Art. 306.2 Vertretungsbeistandschaft,SO,2022,91,NA,TRUE,TRUE
Art. 306.2 Vertretungsbeistandschaft,SZ,2022,87,NA,TRUE,TRUE
Art. 306.2 Vertretungsbeistandschaft,TG,2022,112,NA,TRUE,TRUE
Art. 306.2 Vertretungsbeistandschaft,TI,2022,115,"TI: Eigene Erhebung, ohne Mehrfachnennungen",TRUE,FALSE
Art. 306.2 Vertretungsbeistandschaft,UR,2022,11,NA,TRUE,TRUE
Art. 306.2 Vertretungsbeistandschaft,VD,2022,964,NA,TRUE,TRUE
Art. 306.2 Vertretungsbeistandschaft,VS,2022,104,"VS: Von den 19 KESB im Kanton Wallis konnten nur 11 KESB die Daten für das Jahr 2022 liefern. Die Massnahmenzahlen des Kantons – als Total («Kinder») für 2022 wurden anhand der 11 KESB mit Massnahmenzahlen 2022, im Verhältnis zu den Massnahmenzahlen 2021, hochgerechnet.",TRUE,TRUE
Art. 306.2 Vertretungsbeistandschaft,ZG,2022,69,NA,TRUE,TRUE
Art. 306.2 Vertretungsbeistandschaft,ZH,2022,750,NA,TRUE,TRUE
Art. 306.2 Eigenes Handeln KESB,AG,2022,0,NA,TRUE,TRUE
Art. 306.2 Eigenes Handeln KESB,AI,2022,0,NA,TRUE,TRUE
Art. 306.2 Eigenes Handeln KESB,AR,2022,0,NA,TRUE,TRUE
Art. 306.2 Eigenes Handeln KESB,BE,2022,9,NA,TRUE,TRUE
Art. 306.2 Eigenes Handeln KESB,BL,2022,1,NA,TRUE,TRUE
Art. 306.2 Eigenes Handeln KESB,BS,2022,2,NA,TRUE,TRUE
Art. 306.2 Eigenes Handeln KESB,FR,2022,7,NA,TRUE,TRUE
Art. 306.2 Eigenes Handeln KESB,GE,2022,18,NA,TRUE,TRUE
Art. 306.2 Eigenes Handeln KESB,GL,2022,4,NA,TRUE,TRUE
Art. 306.2 Eigenes Handeln KESB,GR,2022,0,NA,TRUE,TRUE
Art. 306.2 Eigenes Handeln KESB,JU,2022,8,NA,TRUE,TRUE
Art. 306.2 Eigenes Handeln KESB,LU,2022,4,NA,TRUE,TRUE
Art. 306.2 Eigenes Handeln KESB,NE,2022,52,NA,TRUE,TRUE
Art. 306.2 Eigenes Handeln KESB,NW,2022,0,NA,TRUE,TRUE
Art. 306.2 Eigenes Handeln KESB,OW,2022,0,NA,TRUE,TRUE
Art. 306.2 Eigenes Handeln KESB,SG,2022,2,NA,TRUE,TRUE
Art. 306.2 Eigenes Handeln KESB,SH,2022,0,NA,TRUE,TRUE
Art. 306.2 Eigenes Handeln KESB,SO,2022,1,NA,TRUE,TRUE
Art. 306.2 Eigenes Handeln KESB,SZ,2022,0,NA,TRUE,TRUE
Art. 306.2 Eigenes Handeln KESB,TG,2022,10,NA,TRUE,TRUE
Art. 306.2 Eigenes Handeln KESB,TI,2022,3,"TI: Eigene Erhebung, ohne Mehrfachnennungen",TRUE,FALSE
Art. 306.2 Eigenes Handeln KESB,UR,2022,0,NA,TRUE,TRUE
Art. 306.2 Eigenes Handeln KESB,VD,2022,0,NA,TRUE,TRUE
Art. 306.2 Eigenes Handeln KESB,VS,2022,5,"VS: Von den 19 KESB im Kanton Wallis konnten nur 11 KESB die Daten für das Jahr 2022 liefern. Die Massnahmenzahlen des Kantons – als Total («Kinder») für 2022 wurden anhand der 11 KESB mit Massnahmenzahlen 2022, im Verhältnis zu den Massnahmenzahlen 2021, hochgerechnet.",TRUE,TRUE
Art. 306.2 Eigenes Handeln KESB,ZG,2022,0,NA,TRUE,TRUE
Art. 306.2 Eigenes Handeln KESB,ZH,2022,24,NA,TRUE,TRUE
Massnahmen nach Art. 307 ZGB,AG,2022,1053,NA,TRUE,TRUE
Massnahmen nach Art. 307 ZGB,AI,2022,22,NA,TRUE,TRUE
Massnahmen nach Art. 307 ZGB,AR,2022,51,NA,TRUE,TRUE
Massnahmen nach Art. 307 ZGB,BE,2022,1077,NA,TRUE,TRUE
Massnahmen nach Art. 307 ZGB,BL,2022,322,NA,TRUE,TRUE
Massnahmen nach Art. 307 ZGB,BS,2022,128,NA,TRUE,TRUE
Massnahmen nach Art. 307 ZGB,FR,2022,341,NA,TRUE,TRUE
Massnahmen nach Art. 307 ZGB,GE,2022,217,NA,TRUE,TRUE
